source1_id,true_candidate_id,candidate_source,country,source1_name,true_candidate_name,source1_address,true_candidate_address,source1_core_name,candidate_core_name,pass_name_prefix_4,pass_name_prefix_6,pass_name_tokens,pass_name_sorted,pass_name_compressed,pass_address_key,common_keys,failure_category,failure_reason
S1-847307458,S3-954442288,source3,India,Global Ss Management Pvt Ltd,Global Ss Pvt Management Ltd,"G.I.D.C, Shed-G 25, Gandhidham, Kachchh, Gujarat","G.i.d.c, Kachchh, GJ",global ss management,global ss pvt management,True,True,False,False,False,False,India|NP6|global;India|NP4|glob,Key pruned (Block size > 500),"All shared keys (['India|NP6|global', 'India|NP4|glob']) exceeded max_block_size"
S1-747705086,S3-744364228,source3,India,Gujarat Realty LLP,Gujarat  Realty LLP - 5244746404,"110, Inderprastha Tower Wazirpur, Delhi","G-110, Inderprastha Tower Wazirpur, Kundli, DL",gujarat realty,gujarat realty llp 5244746404,True,True,True,False,False,False,India|NP6|gujara;India|NP4|guja;India|TOK|gujarat;India|TOK|realty,Key pruned (Block size > 500),"All shared keys (['India|NP6|gujara', 'India|NP4|guja', 'India|TOK|gujarat', 'India|TOK|realty']) exceeded max_block_size"
S1-697332200,S2-913383201,source2,India,Alpha Constructions Private Limited,আলফা কনস্ট্রাকশনস প্রাইভেট লিমিটেড,"Kolkata, Jl Nehru Road, 9Th Floor, R.M. No.-, A-11, Kolkata, Chatterjee International Centre 33A, Howrah, West Bengal","CHATTERJEE INTERNATIONAL CENTRE 033A, JL NEHRU ROAD, 9TH FLOOR, R.M. NO.-, A-11, KOLKATA, KOLKATA, পশ্চিমবঙ্গ",alpha constructions,আলফ কনসটর কশনস পর ইভ ট ল ম ট ড,False,False,False,False,False,True,India|UNIT|a11,Truncated by max_candidates_per_query,"Shared key survived (['India|UNIT|a11']), but candidate rank exceeded top-200"
S1-210403116,S3-905989859,source3,India,Pioneer Industries Private Limited,ਪਾਇਨੀਅਰ ਇੰਡਸਟ੍ਰੀਜ਼ ਪ੍ਰਾਈਵੇਟ ਲਿਮਟਿਡ,"Zirakpur Kalka Highway Opposite Maharani Regency Hotel, Punjab, Zirakpur, Patiala","Patiala, Zirakpur, Zirakpur Kalka Highway Opposite Maharani Regency Hotel, PB",pioneer industries,ਪ ਇਨ ਅਰ ਇ ਡਸਟਰ ਜ ਪਰ ਈਵ ਟ ਲ ਮਟ ਡ,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-903379045,S2-297092754,source2,India,Guru Foundation Private Limited,গুরু ফাউন্ডেশন প্রাইভেট লিমিটেড,"9, A J C Bose Road, Kolkata, Kolkata, 4Th Floor, West Bengal, Howrah","HOWRAH, CALCUTTA, FLOOR, পশ্চিমবঙ্গ",guru foundation,গ র ফ উনড শন পর ইভ ট ল ম ট ড,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-399942607,S2-279426705,source2,US,Rosella Glassman Ampercap LLC,glassmanampercap.com,"3419 Frost Lane, Bismarck, ND","3419-C FROST LN, ND, BISMARCK",rosella glassman ampercap,glassmanampercap,False,False,False,False,False,False,,"Address similar, Name alias/mismatch","Address shares tokens {'bismarck', 'frost', 'nd'}, but names share 0 tokens"
S1-815768261,S2-137951707,source2,US,Clean Automation Holdings,Clean Holdings Center,"718 Torrington Drive, Naperville, IL","718-722 TORRINGTON DR, NAPERVILLE, IL",clean automation holdings,clean holdings center,True,False,True,False,False,False,US|TOK|clean;US|NP4|clea,Key pruned (Block size > 500),"All shared keys (['US|TOK|clean', 'US|NP4|clea']) exceeded max_block_size"
S1-798239792,S2-744984662,source2,US,Quality Biomedical Global PLLC,QUALITY BIOMEDICAL GLOBAL P.L.L.C.,"23320 122, Melvin, KY",,quality biomedical global pllc,quality biomedical global p,True,True,True,False,False,False,US|TOK|biomedical;US|NP4|qual;US|TOK|quality;US|NP6|qualit,Key pruned (Block size > 500),"All shared keys (['US|TOK|biomedical', 'US|NP4|qual', 'US|TOK|quality', 'US|NP6|qualit']) exceeded max_block_size"
S1-888132442,S2-944973466,source2,India,Sarvodaya (India) Elevators,Sri sarvodayaindiaelevators.com,"34, Avadh Vatika, A. B. Bypass Road, Mhow, Indore, Madhya Pradesh","34, AVADH VATIKA, A. B. BYPASS ROAD, MHOW, Madhya Pradesh",sarvodaya india elevators,sri sarvodayaindiaelevators,False,False,False,False,False,True,India|ADDR|34_avadh,Truncated by max_candidates_per_query,"Shared key survived (['India|ADDR|34_avadh']), but candidate rank exceeded top-200"
S1-849670817,S3-188936373,source3,US,Strategic Praetorian,Strategic Praetman,"702 N Street, Washington, DC","702 1/2 N St, Washington, District of Columbia",strategic praetorian,strategic praetman,True,True,True,False,False,True,US|TOK|strategic;US|NP4|stra;US|NP6|strate;US|ADDR|702_washington,Truncated by max_candidates_per_query,"Shared key survived (['US|ADDR|702_washington']), but candidate rank exceeded top-200"
S1-77028595,S2-809637396,source2,India,Shiv Energy Private Limited,शिव एनर्जी प्राइवेट लिमिटेड,"313/12/1, 2Nd Floor, Above Icici Bank Khun Khun Ji Road, Near Munnu Lal Dharmsh, Ala, Chowk, Lucknow, Uttar Pradesh","D/313/12/1, 2ND FLOOR, ABOVE ICICI BANK KHUN KHUN JI ROAD, NEAR MUNNU LAL DHARMSH, ALA, CHOWK, LUCKNOW  HQ REGION, LUCKNOW, उत्तर प्रदेश",shiv energy,श व एनरज पर इव ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-905466466,S3-473625068,source3,US,Division of Consumer Affairs,Division of,"MN, Crosslake, 38661 Windsor Avenue","38659 Windsor Ave, Minnesota, Crossake",division of consumer affairs,division of,True,True,True,False,False,False,US|NP4|divi;US|TOK|division;US|NP6|divisi,Key pruned (Block size > 500),"All shared keys (['US|NP4|divi', 'US|TOK|division', 'US|NP6|divisi']) exceeded max_block_size"
S1-421719190,S3-606362112,source3,India,Vision Impex Private Limited,विजन इम्पेक्स प्राइवेट लिमिटेड,"Gala No I-23, The Broadway Premises Co-Op Society, Dr. Ambedkar Road, Dadar (E), Mumbai, Mumbai City, Maharashtra","Mumbai City, Mumbai, महाराष्ट्र, Gala No I-23/3, NULL",vision impex,व जन इमप कस पर इव ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-788339543,S3-848878605,source3,India,Lakshmi Estate Limited,लक्ष्मी एस्टेट लिमिटेड,"Plot No. 5628, The Orchid Crescent Dlf Phase - 4, Gurgaon, Haryana","Gurgaon, The Orchid Crescent Dlf Phase - 4, Gurgaon, Plot No. 5628, HR",lakshmi estate,लकषम एसट ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-472705054,S3-944444308,source3,India,Vision Industries Private Limited,Smt Vision Industries Private,"Fazilka Road, Village Ghubaya Teh. Jalalabad, Jalalabad, Firozpur, Punjab","Fazilka Road, Jalalabad, Firozpur, PB",vision industries,smt vision industries,False,False,True,False,False,False,India|TOK|vision,Key pruned (Block size > 500),All shared keys (['India|TOK|vision']) exceeded max_block_size
S1-830891960,S2-322666686,source2,India,Perfect Enterprises Private Limited,परफेक्ट एंटरप्राइजेज प्राइवेट लिमिटेड,"32 Aradhana Colonysector 13 R K Puram, New Delhi, West Delhi, Delhi","H.NO 1 ARADHANA COLONYSECTOR 13 R K PURAM, NEW DELHI, WEST DELHI, Delhi",perfect enterprises,परफ कट ए टरपर इज ज पर इव ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-773666037,S3-705127951,source3,US,Upper Chadwick LLC,Upper LLC Center | www.upperllc.com,"19766 Hails Lane, Mount Vernon, IL","19766. Hails Lane, Mount Vernon, Illinois",upper chadwick,upper llc center www upperllc,True,False,True,False,False,True,US|TOK|upper;US|NP4|uppe;US|ADDR|19766_hails,Truncated by max_candidates_per_query,"Shared key survived (['US|ADDR|19766_hails']), but candidate rank exceeded top-200"
S1-756886721,S2-212726025,source2,India,Kriya Holdings,KIDRYA HOLDINGS,"Orissa, Jobra, Geeta Memorial Hospitalgmhatdasasahi, Cuttack","CUTTACK, JOBRA, GEETA MEMORIAL HOSPITALGMHATDASASLHI, Orissa",kriya holdings,kidrya holdings,False,False,False,False,False,False,,Token variation / Substring,Sub-token present in raw candidate name but missed in core name
S1-348128308,S3-103729535,source3,US,Physical Therapy Delta Associates Inc,Physical Therapy Delta Associates Associates Inc Foundation,"Gastonia, NC, 210 King Street","Gastonia, King Street, North Carolina",physical therapy delta associates,physical therapy delta associates associates inc foundation,True,True,True,False,False,False,US|TOK|delta;US|TOK|physical;US|TOK|therapy;US|NP4|phys;US|NP6|physic,Key pruned (Block size > 500),"All shared keys (['US|TOK|delta', 'US|TOK|physical', 'US|TOK|therapy', 'US|NP4|phys', 'US|NP6|physic']) exceeded max_block_size"
S1-800069802,S2-433933942,source2,US,Valley Choice LLC,Valley Coaeiee LLC,"Henrico County, VA, 1700 Hollandale Road","1702 HOLLANDALE ROAD, HENRICO, VA",valley choice,valley coaeiee,True,True,True,False,False,False,US|NP4|vall;US|TOK|valley;US|NP6|valley,Key pruned (Block size > 500),"All shared keys (['US|NP4|vall', 'US|TOK|valley', 'US|NP6|valley']) exceeded max_block_size"
S1-275648424,S3-8705456,source3,US,Murray Trading Care,caremurraytrading.com,"9713 Van Vlissingen Road, Chicago, IL","Van Vlissingen Road, Chicago, Illinois",murray trading care,caremurraytrading,False,False,False,False,False,False,,"Address similar, Name alias/mismatch","Address shares tokens {'van', 'vlissingen', 'il', 'chicago'}, but names share 0 tokens"
S1-360911062,S2-178336004,source2,US,Bright Book Store,Bright Bk Store,"MT, 3004 Leeann Boulevard, Billings",,bright book store,bright bk store,True,True,True,False,False,False,US|NP6|bright;US|TOK|bright;US|TOK|store;US|NP4|brig,Key pruned (Block size > 500),"All shared keys (['US|NP6|bright', 'US|TOK|bright', 'US|TOK|store', 'US|NP4|brig']) exceeded max_block_size"
S1-530526337,S3-988949920,source3,India,Management Europa Productions LLP,Management Euroa Productions LLP,"Plot No. 29, Road No. 3, Janardhana Hills, P Raju Road, Seri Lingampally, K.V.Rangareddy, Telangana","Plot No. 29, K.v.rangareddy, తెలంగాణ",management europa productions,management euroa productions,True,True,True,False,False,False,India|NP6|manage;India|NP4|mana;India|TOK|productions,Truncated by max_candidates_per_query,"Shared key survived (['India|TOK|productions']), but candidate rank exceeded top-200"
S1-55924649,S2-670099519,source2,US,Modern Bancshares Inc,MODERN BANCSHRARS INC,"22853 Dmc Highway 34, Danville, IA","DMC HIGHWAY 34, DANVILLE, IA",modern bancshares,modern bancshrars,True,True,True,False,False,False,US|NP4|mode;US|NP6|modern;US|TOK|modern,Key pruned (Block size > 500),"All shared keys (['US|NP4|mode', 'US|NP6|modern', 'US|TOK|modern']) exceeded max_block_size"
S1-576496637,S3-850207408,source3,India,Royal Industries Private Limited,रॉयल इंडस्ट्रीज प्राइवेट लिमिटेड,"Chandra Bhusan Pandey, Dharampur Bandey Via- Shahpur Patori, Samastipur, Bihar","Chandra Bhusan Pandey, Dharampur Bandey Via- Shahpur Patori, Samastipur, BR",royal industries,र यल इ डसटर ज पर इव ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-897987810,S2-890800626,source2,US,Continental Beacon Home Improvements Inc,Continental Home Improvements Inc Service,"24331 Old 24, Woodburn, IN","24331-D OLD 24, MAUMEE, IN",continental beacon home improvements,continental home improvements inc service,True,True,True,False,False,False,US|TOK|home;US|NP6|contin;US|TOK|improvements;US|TOK|continental;US|NP4|cont,Key pruned (Block size > 500),"All shared keys (['US|TOK|home', 'US|NP6|contin', 'US|TOK|improvements', 'US|TOK|continental', 'US|NP4|cont']) exceeded max_block_size"
S1-531427084,S3-45492899,source3,US,Electricians Union Local No 947,electriciansunionlocal.com,"La Plata, MD, 844 Holly Drive","844 Holly Drive, La Plata, Maryland",electricians union local no 947,electriciansunionlocal,True,True,False,False,False,True,US|NP4|elec;US|ADDR|844_holly;US|NP6|electr,Truncated by max_candidates_per_query,"Shared key survived (['US|ADDR|844_holly']), but candidate rank exceeded top-200"
S1-295400413,S2-986420375,source2,India,White Ventures Private Limited,వైట్ వెంచర్స్ ప్రైవేట్ లిమిటెడ్,"Flat No. 201, Ongole, Andhra Pradesh, 3Rd Floor, Sai Nilayam Apartments Opposite Pavitra Junior College, Lawyer, Pet Extn., Prakasam","201, 3RD FLOOR, SAI NILAYAM APARTMENTS OPPOSITE PAVITRA JUNIOR COLLEGE, LAWYER, PET EXTN., ONGOLE, PRAKASAM, Andhra Pradesh",white ventures,వ ట వ చరస పర వ ట ల మ ట డ,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-106786002,S3-260182442,source3,India,Indian Consultants Pvt Ltd,इंडियन कंसल्टेंट्स प्रा. लि.,"Pune, Bunglow No. 04, High Class Residency, Sno. 344, Pl No. 300, Pune, Maharashtra","Bunglow No. 04, Pune, MH",indian consultants,इ ड यन क सलट टस पर ल,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-717956928,S2-124432095,source2,US,Pediatric Medicine,PEDIATRICMEDICINECOM,"2001 Harwood Street, Lincoln, NE","2013 HARWOOD STREET, LINCOLN CITY, NE",pediatric medicine,pediatricmedicinecom,True,True,False,False,False,False,US|NP6|pediat;US|NP4|pedi,Key pruned (Block size > 500),"All shared keys (['US|NP6|pediat', 'US|NP4|pedi']) exceeded max_block_size"
S1-529627336,S2-456509042,source2,US,Valley United Lake Inc,VUL,"1314 Fall Parkway, Murfreesboro, TN","8314 FALL PKWY, TN, MURFREESBORO CITY",valley united lake,vul,False,False,False,False,False,False,,Short business name,Short name (<4 chars) produced no prefix/token matches
S1-237177847,S3-538637647,source3,US,Laborers Union Local No 454,laborersunionlocal.com,"100 Brahman Road, Magdalena, NM","Brahman Rd, Magdalena, New Mexico",laborers union local no 454,laborersunionlocal,True,True,False,False,False,False,US|NP6|labore;US|NP4|labo,Truncated by max_candidates_per_query,"Shared key survived (['US|NP6|labore', 'US|NP4|labo']), but candidate rank exceeded top-200"
S1-655089723,S3-62869025,source3,US,Dambrosio Capital L.L.C.,Lyranylavera,"922 76 Street, Brooklyn, NY","922D 76 St, Brooklyn, New York",dambrosio capital,lyranylavera,False,False,False,False,False,False,,"Address similar, Name alias/mismatch","Address shares tokens {'brooklyn', 'ny', '76'}, but names share 0 tokens"
S1-510297867,S3-6724844,source3,US,Surgical Associates,Surgical Center,"2717 Lynn Avenue, Saint Louis Park, MN","717 Lynn Avenue, Saint Louis Park, Minnesota",surgical associates,surgical center,True,True,True,False,False,False,US|NP6|surgic;US|TOK|surgical;US|NP4|surg,Key pruned (Block size > 500),"All shared keys (['US|NP6|surgic', 'US|TOK|surgical', 'US|NP4|surg']) exceeded max_block_size"
S1-833492633,S3-184297142,source3,US,Oncology First Partners LLC,Oncology 1st Partners  LLC,"31930 Wildwood Park Lane, Conroe, TX","31930-B Wildwood Park Lane, Cnroe CDP, Texas",oncology first partners,oncology 1st partners,True,True,True,False,False,False,US|TOK|oncology;US|NP4|onco;US|NP6|oncolo;US|TOK|partners,Key pruned (Block size > 500),"All shared keys (['US|TOK|oncology', 'US|NP4|onco', 'US|NP6|oncolo', 'US|TOK|partners']) exceeded max_block_size"
S1-453313801,S2-522655618,source2,India,Jay Media,జై మీడియా,"9-4-84/44, Kakatiya Nagar, Nanal Nagar, Golconda, Hyderabad, Telangana","09-4-84/44, GOLCONDA, HYDERABAD, తెలంగాణ",jay media,జ మ డ య,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-990433106,S3-823878280,source3,India,Universal Impex,ইউনিভার্সাল ইম্পেক্স,"22 Bigha, Near Iim, Kolkata, Joka, Howrah, Kolkata, West Bengal","Hn 330 Joka, NULL, Kolkata, Howrah, WB",universal impex,ইউন ভ রস ল ইমপ কস,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-960361259,S3-76796663,source3,US,Eye Group,Eye  Inc,"377 Knollwood Drive, Forest City, NC","377 Knollwood Dr, Forest Cityy CITY, North Carolina",eye group,eye,False,False,False,False,False,True,US|ADDR|377_knollwood,Truncated by max_candidates_per_query,"Shared key survived (['US|ADDR|377_knollwood']), but candidate rank exceeded top-200"
S1-518852321,S3-173884597,source3,US,Choice Royal Commodity PLLC,... choiceroyalcommodity.com,"Unit 2034, TX, 5015 Joe Ramsey Boulevard, Greenville","Greenville, 5015 Joe Ramsey Blvd, # 2034, Texas",choice royal commodity pllc,choiceroyalcommodity,True,True,False,False,False,False,US|NP6|choice;US|NP4|choi,Key pruned (Block size > 500),"All shared keys (['US|NP6|choice', 'US|NP4|choi']) exceeded max_block_size"
S1-550488938,S2-918671514,source2,India,Jaipur (india) Partners,JAIPUR (INDIA) PARTNER5 COMPANY,"50, Sikar Road, Parasram Nagar, Dahar Ke Balaji, Jaipur, Rajasthan","7-50, SIKAR ROAD, PARASRAM NAGAR, DAHAR KE BALAJI, JAIPUR, Rajasthan",jaipur india partners,jaipur india partner5,True,True,True,False,False,False,India|NP6|jaipur;India|TOK|india;India|TOK|jaipur;India|NP4|jaip,Key pruned (Block size > 500),"All shared keys (['India|NP6|jaipur', 'India|TOK|india', 'India|TOK|jaipur', 'India|NP4|jaip']) exceeded max_block_size"
S1-307432736,S2-957097337,source2,India,Great Power Pvt Ltd,ग्रेट पावर प्रा. लि.,"C/O-Ramakant Madhavrao Gade, Opposite Kanifnath Mandir, Near Tamboli Farm, At Parewadi, Paragaonahmadnagar, Nagar, Ahmed Nagar, Maharashtra","C/O-RAMAKANT MADHAVRAO GADE, PARBHANI, AHMED NAGAR, Maharashtra",great power,गर ट प वर पर ल,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-996012175,S2-322555091,source2,US,Ferguson Webster PLLC,PLLC Ferguson Weoenlter,"880 June Terrace, Unit UNIT 270, Lake Zurich, IL","880 JUNE TERRACE, LAKE ZRUICH CDP, IL",ferguson webster pllc,pllc ferguson weoenlter,False,False,True,False,False,True,US|TOK|ferguson;US|TOK|pllc;US|ADDR|880_june,Truncated by max_candidates_per_query,"Shared key survived (['US|TOK|ferguson', 'US|ADDR|880_june']), but candidate rank exceeded top-200"
S1-976383283,S3-210139553,source3,India,Ram Krishna Services Private Limited,ராம் கிருஷ்ணா சர்வீசஸ் பிரைவேட் லிமிடெட்,"Flat.No.3, Banyan View, Iii Floor, New.No.39, Karpagam Garden, 1St Main Road, Adyar, Chennai, Tamil Nadu","H.no 3, N/A, Chennai, TN",ram krishna services,ர ம க ர ஷண சரவ சஸ ப ர வ ட ல ம ட ட,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-657225634,S3-287161514,source3,US,Delta Short LLC,Services Delta LLC,"City Of Appleton, 1126 Lawe Street, WI","1126. Lawe Street, Appeton, Wisconsin",delta short,services delta,False,False,True,False,False,True,US|TOK|delta;US|ADDR|1126_lawe,Truncated by max_candidates_per_query,"Shared key survived (['US|ADDR|1126_lawe']), but candidate rank exceeded top-200"
S1-773460033,S3-558955596,source3,US,Upper Polestar PC,UP,"Fort Mill, SC, 255 Sedgewick Drive","Fort Mill, 255 Sedgewick Drive, SC",upper polestar pc,up,False,False,False,False,False,True,US|ADDR|255_sedgewick,Truncated by max_candidates_per_query,"Shared key survived (['US|ADDR|255_sedgewick']), but candidate rank exceeded top-200"
S1-175126693,S2-208619058,source2,India,Navi Mumbai Industries Private Limited,INDNAVIMUMBAI.COM,"D - 201, Ruparel Gardens Chs, Plot C3 Sector - 23, Nerul East, Navi Mumbai, Thane, Maharashtra","D - 201, RUPAREL GARDENS CHS, PLOT C3 SECTOR - 23, NERUL EAST, THANE, NAVI MUMBAI, Maharashtra",navi mumbai industries,indnavimumbai,False,False,False,False,False,True,India|ADDR|201_ruparel,Truncated by max_candidates_per_query,"Shared key survived (['India|ADDR|201_ruparel']), but candidate rank exceeded top-200"
S1-64027159,S2-716939363,source2,US,Andy Ressler Rapid Polestar L.L.C.,resslerandyrapid.com,"1460 Bertha Boulevard, Portland, OR","OR, BERTHA BLVD, PORTLAND",andy ressler rapid polestar,resslerandyrapid,False,False,False,False,False,False,,"Address similar, Name alias/mismatch","Address shares tokens {'or', 'portland', 'blvd', 'bertha'}, but names share 0 tokens"
S1-37533698,S2-86882746,source2,US,Back Alley Bistro,Back Alley Bimotro,"1211 Cedar Grove Road, Supply, NC","1211-A CEDAR GROVE RD, NC, SUPPLY",back alley bistro,back alley bimotro,True,True,True,False,False,False,US|NP4|back;US|NP6|backal;US|TOK|back;US|TOK|alley,Key pruned (Block size > 500),"All shared keys (['US|NP4|back', 'US|NP6|backal', 'US|TOK|back', 'US|TOK|alley']) exceeded max_block_size"
S1-954611473,S2-532397913,source2,India,Sunrise Consulting Private Limited,सनराइज कंसल्टिंग प्राइवेट लिमिटेड,"D-15/29, First Floor, Sector 3, Rohini, Delhi, North West Delhi, Delhi","D-C-15/29, FIRST FLOOR, SECTOR 3, ROHINI, DIVREPORTINGCIRCLE, DELHI, दिल्ली",sunrise consulting,सनर इज क सलट ग पर इव ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-279534597,S2-909501954,source2,India,Apex It Private Limited,एपेक्स आईटी प्राइवेट लिमिटेड,"Flat No.101, M-3, Connaught Place, (Middle Circle), New Delhi, Central Delhi, Delhi","FLAT NO.101, NEW DELHI, CENTRAL DELHI, Delhi",apex it,एप कस आईट पर इव ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-906347480,S2-345245122,source2,India,Gold Trading Limited,ਗੋਲਡ ਟ੍ਰੇਡਿੰਗ ਲਿਮਟਿਡ,"Kapoor Health Care Center, Main Road O/S Gate Hakima, Amritsar, Punjab","KAPOOR HEALTH CARE CENTER, MAIN ROAD O/S GATE HAKIMA, AMRISTAR, AMRITSAR, Punjab",gold trading,ਗ ਲਡ ਟਰ ਡ ਗ ਲ ਮਟ ਡ,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-605334018,S3-257861664,source3,India,Good Products Private Limited,ಗುಡ್ ಪ್ರೊಡಕ್ಟ್ಸ್ ಪ್ರೈವೇಟ್ ಲಿಮಿಟೆಡ್,"314, Manito Commanders Marvel, Duo Marvel Layout, Bangalore North, Bangalore, Karnataka","314, Bangalore North, Bangalore, KA",good products,ಗ ಡ ಪರ ಡಕಟಸ ಪರ ವ ಟ ಲ ಮ ಟ ಡ,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
S1-318373630,S2-660036492,source2,India,Red Ventures Private Limited,रेड वेंचर्स प्राइवेट लिमिटेड,"Rajasthan, Jaipur, Banipark, Gokul Apartment, E-3A Kanti Chandra Road, G-1","G-1, BANIPARK, JAIPUR, Rajasthan",red ventures,र ड व चरस पर इव ट ल म ट ड,False,False,False,False,False,False,,Indic script vs Latin name,Cand name is in Indic script; no shared address key generated
